
Respondent_ID,Age,Gender,City_Tier,Employment_Type,Monthly_Income_INR,Monthly_Expenses_INR,Savings_Percentage,Investment_Type,Has_Health_Insurance,Has_Life_Insurance,Has_Emergency_Fund,Debt_Status,Monthly_Debt_Payment_INR,Financial_Literacy_Score,Uses_Financial_Apps,Primary_Financial_Goal,Risk_Tolerance_Level,Savings_Channel,Region
34,29,Male,Tier 2,Self-Employed,21859,25029,18,Gold,Yes,Yes,No,Credit Card Debt,34866,7,Yes,Travel,Low,Digital Wallet,South
35,59,Female,Tier 1,Self-Employed,187681,112171,28,Cryptocurrency,Yes,Yes,Yes,No Debt,15438,1,No,Education,Medium,Investment Platform,South
36,38,Male,Tier 2,Salaried,189379,124456,38,None,Yes,Yes,No,No Debt,7865,4,No,Education,Medium,Cash,West
37,24,Male,Tier 3,Self-Employed,125986,72559,48,Fixed Deposit,Yes,Yes,Yes,No Debt,16557,3,Yes,Home Purchase,High,Digital Wallet,East
38,45,Female,Tier 3,Salaried,36839,74892,30,Mutual Funds,No,Yes,Yes,No Debt,12211,6,Yes,Wealth Accumulation,Low,Bank Account,Central
39,34,Male,Tier 1,Unemployed,42216,80409,25,None,No,No,Yes,Credit Card Debt,33268,9,Yes,Home Purchase,High,Investment Platform,East
40,29,Male,Tier 1,Salaried,67953,149707,32,Mutual Funds,Yes,No,Yes,Credit Card Debt,3646,9,No,Wealth Accumulation,High,Digital Wallet,North
41,46,Female,Tier 1,Unemployed,64522,43065,40,None,Yes,No,Yes,No Debt,42816,7,Yes,Wealth Accumulation,Low,Digital Wallet,Central
42,22,Female,Tier 2,Salaried,150958,130544,44,Gold,No,Yes,Yes,Home Loan,23924,9,Yes,Wealth Accumulation,Low,Digital Wallet,North
43,40,Male,Tier 3,Student,126249,117340,6,Cryptocurrency,No,No,Yes,Home Loan,44112,8,No,Wealth Accumulation,High,Investment Platform,North
44,48,Male,Tier 1,Self-Employed,22485,43783,46,Stocks,Yes,No,No,Home Loan,9910,5,Yes,Education,Medium,Bank Account,North
45,27,Female,Tier 2,Unemployed,177527,44152,13,Cryptocurrency,Yes,Yes,Yes,Home Loan,1778,9,No,Education,Medium,Bank Account,Central
46,28,Male,Tier 3,Salaried,162839,68741,27,Fixed Deposit,Yes,Yes,Yes,Personal Loan,45752,7,Yes,Business,Medium,Investment Platform,Central
47,55,Male,Tier 2,Self-Employed,127701,117049,19,Stocks,Yes,No,Yes,Credit Card Debt,19441,5,Yes,Education,Medium,Digital Wallet,West
48,34,Male,Tier 2,Salaried,174525,39092,17,Mutual Funds,Yes,Yes,Yes,Credit Card Debt,5190,8,No,Home Purchase,High,Investment Platform,South
49,37,Female,Tier 2,Self-Employed,117638,96483,27,Gold,Yes,Yes,No,No Debt,15304,7,Yes,Education,Low,Investment Platform,East
50,56,Female,Tier 2,Self-Employed,199514,131585,21,Gold,Yes,Yes,Yes,Personal Loan,39765,9,Yes,Home Purchase,Low,Digital Wallet,East
51,24,Male,Tier 1,Salaried,197949,69754,6,Mutual Funds,Yes,No,No,No Debt,27289,10,Yes,Retirement,High,Investment Platform,North
52,22,Male,Tier 2,Unemployed,27226,97592,24,Fixed Deposit,Yes,Yes,No,No Debt,44788,1,Yes,Education,High,Cash,Central
53,26,Male,Tier 2,Unemployed,108405,104543,24,Mutual Funds,No,No,Yes,Credit Card Debt,4747,9,Yes,Home Purchase,Medium,Bank Account,Central
54,24,Female,Tier 3,Student,37588,53169,7,None,No,No,Yes,Personal Loan,9286,7,No,Wealth Accumulation,High,Cash,North
55,49,Male,Tier 2,Self-Employed,177781,64745,16,Fixed Deposit,Yes,No,Yes,Home Loan,45,1,No,Travel,Medium,Cash,South
56,38,Male,Tier 3,Student,193860,120168,44,Stocks,No,Yes,Yes,Credit Card Debt,29742,1,No,Wealth Accumulation,Low,Cash,East
57,46,Female,Tier 1,Student,52019,123985,6,Mutual Funds,No,No,No,Personal Loan,7758,5,Yes,Business,High,Investment Platform,West
58,54,Male,Tier 2,Salaried,191020,15543,40,Fixed Deposit,Yes,Yes,Yes,Personal Loan,23437,8,No,Home Purchase,Medium,Digital Wallet,South
59,30,Female,Tier 1,Salaried,80133,31067,18,Stocks,Yes,Yes,Yes,Credit Card Debt,19585,9,No,Wealth Accumulation,Low,Investment Platform,Central
60,56,Male,Tier 1,Salaried,129444,61033,20,Mutual Funds,No,Yes,Yes,Credit Card Debt,33223,6,Yes,Education,Low,Bank Account,North
61,34,Male,Tier 2,Self-Employed,132603,55256,23,Gold,No,Yes,Yes,No Debt,9854,10,Yes,Education,Medium,Investment Platform,East
62,51,Male,Tier 3,Salaried,173598,96803,38,Mutual Funds,No,No,Yes,No Debt,17349,8,Yes,Retirement,High,Investment Platform,North
63,35,Female,Tier 1,Salaried,143585,128843,48,Cryptocurrency,No,Yes,Yes,No Debt,30692,6,No,Travel,Low,Investment Platform,Central
64,28,Female,Tier 2,Self-Employed,198270,38992,10,Mutual Funds,Yes,Yes,Yes,Home Loan,21348,6,Yes,Home Purchase,Low,Investment Platform,North
65,34,Female,Tier 3,Self-Employed,58395,58803,17,Cryptocurrency,Yes,Yes,Yes,Credit Card Debt,34296,4,No,Wealth Accumulation,Medium,Cash,East
66,43,Male,Tier 1,Unemployed,170103,119975,40,Stocks,Yes,No,No,Personal Loan,35744,5,Yes,Travel,High,Digital Wallet,North
67,41,Female,Tier 2,Salaried,140814,36270,26,Mutual Funds,Yes,No,No,Credit Card Debt,19455,2,No,Retirement,Medium,Bank Account,East
68,36,Male,Tier 2,Salaried,183773,146269,22,Stocks,Yes,No,Yes,Personal Loan,13288,3,Yes,Business,Medium,Bank Account,North
69,38,Male,Tier 2,Salaried,127599,17452,16,Stocks,Yes,Yes,Yes,Home Loan,6387,3,Yes,Travel,Medium,Bank Account,North
70,44,Female,Tier 1,Unemployed,40939,51486,34,Fixed Deposit,Yes,Yes,No,Credit Card Debt,35289,5,Yes,Retirement,Low,Investment Platform,East
71,46,Male,Tier 1,Salaried,195217,24859,44,Stocks,No,No,Yes,Personal Loan,39293,5,Yes,Home Purchase,Medium,Bank Account,North
72,45,Male,Tier 3,Unemployed,166396,42083,11,Stocks,Yes,Yes,Yes,Personal Loan,33894,6,No,Business,Low,Cash,South
73,49,Male,Tier 2,Student,168939,77708,36,Mutual Funds,Yes,Yes,Yes,No Debt,23016,5,No,Education,High,Digital Wallet,West
74,35,Male,Tier 1,Unemployed,15203,121462,23,Mutual Funds,Yes,No,No,Home Loan,46116,6,Yes,Retirement,Low,Investment Platform,South
75,21,Male,Tier 3,Student,162616,103076,10,Gold,Yes,Yes,Yes,Credit Card Debt,40484,8,Yes,Education,Medium,Investment Platform,West
76,45,Female,Tier 1,Salaried,161971,29053,24,Fixed Deposit,No,No,No,No Debt,30215,2,Yes,Business,Low,Cash,South
77,27,Male,Tier 2,Student,44063,99745,31,Stocks,No,Yes,No,Home Loan,16102,4,Yes,Retirement,Medium,Bank Account,West
78,29,Female,Tier 1,Unemployed,105880,79517,47,Fixed Deposit,No,Yes,No,No Debt,3404,6,Yes,Retirement,Low,Investment Platform,North
79,44,Female,Tier 3,Self-Employed,18748,146319,41,Cryptocurrency,Yes,Yes,No,Credit Card Debt,37260,5,No,Business,Low,Investment Platform,East
80,21,Male,Tier 1,Student,132269,147207,11,Stocks,Yes,Yes,Yes,Personal Loan,35111,1,No,Home Purchase,Low,Cash,East
81,28,Male,Tier 1,Student,95764,146645,9,Fixed Deposit,Yes,No,Yes,Credit Card Debt,106,9,Yes,Retirement,Medium,Cash,Central
82,44,Male,Tier 1,Salaried,166956,89267,15,Gold,Yes,No,No,Home Loan,15195,3,Yes,Business,Low,Bank Account,West
83,31,Female,Tier 1,Unemployed,171255,148261,19,Gold,No,Yes,No,Credit Card Debt,46009,2,Yes,Travel,Medium,Digital Wallet,Central
84,37,Male,Tier 3,Student,123036,90077,7,Stocks,No,Yes,Yes,Home Loan,27153,9,Yes,Education,Medium,Digital Wallet,Central
85,28,Female,Tier 3,Student,165331,86623,9,Cryptocurrency,No,No,No,No Debt,29605,7,Yes,Retirement,Medium,Bank Account,West
86,55,Male,Tier 1,Student,182031,141004,27,Gold,Yes,No,Yes,Home Loan,45343,5,Yes,Travel,Medium,Digital Wallet,East
87,55,Female,Tier 2,Student,131525,63687,41,Gold,No,Yes,Yes,Personal Loan,37569,6,Yes,Retirement,High,Cash,West
88,53,Male,Tier 2,Self-Employed,179529,78312,13,Cryptocurrency,Yes,Yes,Yes,Personal Loan,5580,4,Yes,Home Purchase,Low,Cash,North
89,25,Male,Tier 3,Unemployed,100679,117615,19,Fixed Deposit,No,Yes,Yes,Personal Loan,49366,1,Yes,Business,Low,Cash,Central
90,59,Female,Tier 2,Salaried,140829,140976,7,Gold,Yes,No,Yes,No Debt,5400,4,Yes,Retirement,High,Digital Wallet,Central
91,48,Female,Tier 1,Salaried,143216,37564,33,Mutual Funds,Yes,No,Yes,Home Loan,39643,9,Yes,Business,Low,Digital Wallet,West
92,27,Male,Tier 2,Self-Employed,148175,38835,10,None,Yes,Yes,Yes,No Debt,30649,1,No,Wealth Accumulation,High,Investment Platform,Central
93,29,Female,Tier 2,Unemployed,80901,17697,21,None,No,No,Yes,Credit Card Debt,30496,10,No,Retirement,Low,Investment Platform,East
94,28,Female,Tier 1,Student,190607,90165,30,Gold,Yes,Yes,Yes,Credit Card Debt,20637,3,No,Home Purchase,Medium,Investment Platform,Central
95,32,Female,Tier 2,Self-Employed,162175,67823,25,Fixed Deposit,Yes,Yes,No,Credit Card Debt,41424,5,Yes,Home Purchase,Low,Digital Wallet,West
96,54,Female,Tier 1,Unemployed,113046,19615,12,Fixed Deposit,No,Yes,Yes,Credit Card Debt,39015,7,Yes,Travel,High,Investment Platform,East
97,53,Male,Tier 3,Student,105012,146132,25,Stocks,Yes,No,Yes,Personal Loan,6177,9,Yes,Home Purchase,Medium,Cash,East
98,43,Male,Tier 1,Self-Employed,93278,140499,15,Mutual Funds,Yes,Yes,Yes,Home Loan,7269,6,Yes,Business,Low,Digital Wallet,Central
99,44,Male,Tier 2,Unemployed,27391,86436,42,Fixed Deposit,Yes,Yes,Yes,Personal Loan,14974,3,No,Wealth Accumulation,Low,Bank Account,West
100,57,Female,Tier 2,Salaried,117476,130562,12,Cryptocurrency,Yes,Yes,No,Home Loan,14037,7,Yes,Home Purchase,Low,Digital Wallet,Central
101,55,Female,Tier 2,Salaried,174973,81117,46,Mutual Funds,No,Yes,Yes,Home Loan,18756,4,Yes,Retirement,Medium,Investment Platform,North
102,42,Male,Tier 1,Unemployed,135721,44782,28,None,No,Yes,No,No Debt,16167,3,Yes,Home Purchase,Low,Digital Wallet,North
103,47,Male,Tier 2,Salaried,112537,88533,39,Mutual Funds,Yes,No,Yes,Credit Card Debt,23218,7,Yes,Wealth Accumulation,Low,Investment Platform,East
104,55,Female,Tier 2,Unemployed,96159,82684,18,Cryptocurrency,No,Yes,Yes,Home Loan,25167,7,No,Business,Medium,Investment Platform,Central
105,21,Other,Tier 2,Student,146040,89558,18,Gold,Yes,No,Yes,Credit Card Debt,43148,4,Yes,Retirement,Medium,Bank Account,North
106,55,Female,Tier 2,Unemployed,196429,91422,14,Cryptocurrency,Yes,Yes,Yes,Credit Card Debt,6617,7,Yes,Travel,Low,Bank Account,South
107,57,Male,Tier 2,Student,184509,16638,16,Cryptocurrency,Yes,Yes,Yes,Credit Card Debt,21534,2,Yes,Travel,Low,Cash,North
108,34,Male,Tier 3,Self-Employed,50503,47419,42,Gold,Yes,Yes,Yes,Personal Loan,25459,1,No,Travel,Medium,Investment Platform,Central
109,23,Male,Tier 1,Unemployed,90403,43377,48,Gold,Yes,Yes,Yes,Credit Card Debt,20542,2,Yes,Retirement,High,Digital Wallet,Central
110,21,Female,Tier 3,Self-Employed,187330,116244,38,Gold,No,Yes,Yes,Home Loan,303,4,Yes,Travel,Low,Bank Account,North
111,25,Male,Tier 2,Salaried,179796,33382,45,Gold,No,Yes,No,Personal Loan,29756,8,Yes,Home Purchase,Medium,Bank Account,Central
112,46,Female,Tier 1,Student,79286,77789,14,Gold,Yes,No,Yes,Credit Card Debt,12683,3,No,Retirement,Low,Investment Platform,Central
113,34,Male,Tier 1,Unemployed,89842,120634,21,Cryptocurrency,Yes,No,Yes,No Debt,49485,10,Yes,Retirement,Low,Digital Wallet,South
114,59,Female,Tier 1,Self-Employed,119927,141936,21,Stocks,No,Yes,Yes,Credit Card Debt,32695,6,Yes,Retirement,Medium,Bank Account,East
115,47,Female,Tier 3,Student,29908,109572,7,Stocks,No,Yes,Yes,Credit Card Debt,11025,6,No,Education,Low,Bank Account,Central
116,29,Female,Tier 2,Student,196698,133664,35,Fixed Deposit,No,Yes,Yes,Personal Loan,20890,9,No,Business,Medium,Digital Wallet,West
117,35,Male,Tier 3,Salaried,52228,120674,5,Stocks,Yes,Yes,No,Home Loan,18715,9,Yes,Education,High,Bank Account,East
118,35,Male,Tier 2,Salaried,38386,113533,16,None,No,Yes,No,Credit Card Debt,4561,4,No,Education,High,Digital Wallet,East
119,46,Male,Tier 2,Student,192826,91845,43,Stocks,Yes,No,Yes,Personal Loan,32847,9,Yes,Education,Low,Investment Platform,West
120,33,Female,Tier 1,Student,43302,79590,8,Cryptocurrency,Yes,Yes,Yes,Personal Loan,36531,6,No,Business,Low,Bank Account,North
121,52,Female,Tier 1,Unemployed,75815,137775,46,Gold,Yes,Yes,Yes,Home Loan,27407,2,Yes,Education,High,Investment Platform,South
122,59,Female,Tier 2,Student,78344,76471,17,Gold,Yes,Yes,No,Personal Loan,21580,10,Yes,Travel,Low,Digital Wallet,Central
123,52,Female,Tier 1,Unemployed,181690,53298,38,Cryptocurrency,Yes,Yes,Yes,Home Loan,10169,6,No,Retirement,Medium,Investment Platform,North
124,24,Female,Tier 1,Student,126603,58924,46,None,Yes,No,Yes,No Debt,17116,2,No,Retirement,Low,Investment Platform,West
125,50,Male,Tier 2,Salaried,76114,19726,25,Stocks,Yes,Yes,Yes,Credit Card Debt,36744,8,Yes,Home Purchase,Low,Investment Platform,South
126,57,Female,Tier 2,Unemployed,40525,50542,26,Cryptocurrency,No,Yes,No,Personal Loan,22043,4,No,Wealth Accumulation,Low,Cash,South
127,43,Male,Tier 3,Self-Employed,94818,44753,8,Fixed Deposit,Yes,No,Yes,No Debt,2124,5,Yes,Travel,High,Digital Wallet,South
128,59,Male,Tier 3,Salaried,129589,89788,22,Gold,Yes,Yes,Yes,Personal Loan,39420,8,No,Business,High,Digital Wallet,West
129,35,Female,Tier 2,Unemployed,160406,31316,9,Mutual Funds,Yes,No,No,Personal Loan,38051,8,Yes,Wealth Accumulation,Low,Digital Wallet,North
130,49,Male,Tier 2,Unemployed,109715,94698,23,Fixed Deposit,No,No,Yes,No Debt,7176,6,Yes,Retirement,High,Digital Wallet,Central
131,56,Male,Tier 2,Self-Employed,21644,25960,6,None,Yes,Yes,No,Personal Loan,25774,4,Yes,Education,Low,Digital Wallet,South
132,33,Female,Tier 3,Unemployed,116154,40791,16,Fixed Deposit,Yes,No,Yes,Personal Loan,18676,1,Yes,Home Purchase,Low,Bank Account,South
133,52,Male,Tier 1,Student,179005,35216,21,Cryptocurrency,Yes,Yes,No,No Debt,45177,7,Yes,Home Purchase,Medium,Bank Account,North
134,27,Female,Tier 2,Self-Employed,58469,74427,14,Stocks,No,Yes,No,Personal Loan,24760,8,Yes,Retirement,Medium,Bank Account,South
135,42,Male,Tier 3,Salaried,179759,122470,38,Gold,No,Yes,Yes,Home Loan,45087,9,Yes,Travel,Low,Investment Platform,South
136,48,Male,Tier 1,Salaried,121609,83290,10,None,Yes,Yes,No,Personal Loan,997,2,No,Wealth Accumulation,Low,Investment Platform,West
137,22,Male,Tier 2,Student,198728,57014,12,None,Yes,No,Yes,Credit Card Debt,43769,1,Yes,Home Purchase,High,Digital Wallet,East
138,26,Male,Tier 2,Salaried,163447,145150,15,Mutual Funds,No,No,No,Personal Loan,37432,4,Yes,Retirement,High,Cash,North
139,48,Female,Tier 1,Unemployed,80206,60519,16,Fixed Deposit,Yes,No,Yes,Credit Card Debt,13117,5,Yes,Travel,High,Digital Wallet,North
140,48,Male,Tier 1,Unemployed,111462,14042,13,Mutual Funds,Yes,No,No,Credit Card Debt,11231,10,Yes,Retirement,Low,Bank Account,North
141,40,Female,Tier 1,Student,182679,59052,6,Stocks,Yes,Yes,Yes,Personal Loan,29751,1,Yes,Retirement,Medium,Digital Wallet,West
142,50,Male,Tier 1,Salaried,98178,24389,12,Stocks,Yes,Yes,No,No Debt,7440,5,Yes,Travel,Low,Investment Platform,West
143,31,Female,Tier 1,Salaried,170065,105961,15,Mutual Funds,Yes,Yes,Yes,Home Loan,19911,6,Yes,Travel,High,Digital Wallet,Central
144,48,Female,Tier 3,Student,190458,78111,40,Gold,Yes,Yes,No,Home Loan,43986,3,Yes,Travel,Low,Bank Account,West
145,45,Female,Tier 1,Self-Employed,192359,115058,14,Stocks,No,Yes,No,Personal Loan,15608,7,Yes,Retirement,Low,Digital Wallet,North
146,59,Male,Tier 2,Salaried,101724,103715,25,Mutual Funds,No,No,Yes,No Debt,29665,6,Yes,Home Purchase,Medium,Investment Platform,Central
147,53,Male,Tier 1,Self-Employed,111393,60733,24,Fixed Deposit,Yes,Yes,No,No Debt,27157,4,No,Business,High,Cash,East
148,21,Male,Tier 3,Salaried,142314,44754,12,Mutual Funds,No,Yes,No,Home Loan,28779,3,Yes,Business,Medium,Bank Account,South
149,47,Female,Tier 1,Salaried,91312,95886,40,Mutual Funds,Yes,Yes,Yes,No Debt,29968,5,No,Retirement,Low,Digital Wallet,South
150,33,Male,Tier 2,Salaried,90324,99524,33,Cryptocurrency,Yes,No,Yes,Personal Loan,27387,3,Yes,Retirement,Medium,Investment Platform,Central
151,23,Female,Tier 3,Salaried,86196,91006,46,Stocks,Yes,No,Yes,Personal Loan,4090,10,No,Home Purchase,High,Bank Account,East
152,59,Female,Tier 3,Unemployed,85014,34704,16,Gold,No,No,Yes,No Debt,24945,9,Yes,Travel,Low,Bank Account,South
153,26,Male,Tier 1,Self-Employed,154282,104913,18,Gold,No,Yes,Yes,Personal Loan,40239,9,Yes,Retirement,High,Investment Platform,Central
154,28,Female,Tier 3,Self-Employed,156994,104108,25,Cryptocurrency,No,No,Yes,Credit Card Debt,3743,6,No,Education,High,Digital Wallet,West
155,47,Male,Tier 2,Salaried,182361,17493,26,None,No,Yes,Yes,Home Loan,30924,6,Yes,Travel,Low,Digital Wallet,North
156,29,Male,Tier 2,Salaried,48340,79639,25,Gold,Yes,No,Yes,Personal Loan,10196,4,Yes,Retirement,Low,Digital Wallet,East
157,57,Female,Tier 1,Self-Employed,54850,64383,48,Mutual Funds,No,Yes,Yes,No Debt,26279,4,Yes,Education,Low,Bank Account,South
158,53,Female,Tier 1,Unemployed,128711,144066,34,Cryptocurrency,No,Yes,No,Home Loan,39776,2,No,Wealth Accumulation,Low,Cash,North
159,44,Female,Tier 2,Student,26094,57234,43,Fixed Deposit,No,Yes,No,Personal Loan,3324,10,Yes,Home Purchase,Medium,Bank Account,Central
160,35,Male,Tier 2,Student,102959,138674,24,Stocks,Yes,No,Yes,Home Loan,41400,4,Yes,Education,Medium,Digital Wallet,South
161,52,Male,Tier 2,Self-Employed,179490,15594,28,Stocks,Yes,Yes,No,No Debt,19641,8,No,Retirement,Medium,Bank Account,North
162,52,Female,Tier 2,Salaried,20741,17371,27,Stocks,Yes,No,No,Credit Card Debt,27482,10,Yes,Business,Low,Cash,West
163,44,Female,Tier 3,Salaried,126585,57315,11,Mutual Funds,Yes,Yes,No,Credit Card Debt,32994,2,No,Retirement,Medium,Bank Account,East
164,32,Female,Tier 1,Unemployed,137564,137251,13,Fixed Deposit,Yes,Yes,Yes,Personal Loan,14863,9,Yes,Business,Medium,Investment Platform,Central
165,59,Male,Tier 2,Student,83798,89526,5,Cryptocurrency,Yes,Yes,Yes,Credit Card Debt,48795,1,No,Home Purchase,High,Digital Wallet,South
166,22,Female,Tier 1,Unemployed,131026,96005,30,Cryptocurrency,Yes,Yes,No,Personal Loan,37486,2,Yes,Home Purchase,Low,Digital Wallet,West
167,23,Male,Tier 3,Student,125130,115573,42,Stocks,Yes,Yes,No,Home Loan,38440,2,Yes,Travel,Medium,Digital Wallet,East
168,57,Male,Tier 2,Self-Employed,37164,148202,42,Fixed Deposit,Yes,Yes,No,Personal Loan,24111,6,Yes,Travel,High,Bank Account,East
169,37,Female,Tier 3,Student,181667,147900,48,Fixed Deposit,Yes,No,No,Personal Loan,48030,7,Yes,Business,Medium,Bank Account,West
170,22,Male,Tier 1,Unemployed,45257,67514,26,Fixed Deposit,No,Yes,Yes,Personal Loan,3199,3,Yes,Business,Low,Bank Account,South
171,22,Female,Tier 1,Unemployed,160283,85986,48,Gold,Yes,No,Yes,Credit Card Debt,38038,9,Yes,Home Purchase,Low,Digital Wallet,East
172,48,Male,Tier 1,Unemployed,110989,95959,14,Gold,Yes,No,Yes,Personal Loan,45518,5,Yes,Education,High,Bank Account,Central
173,43,Male,Tier 1,Self-Employed,151304,12035,10,Stocks,No,No,Yes,No Debt,7897,5,Yes,Business,Low,Digital Wallet,North
174,57,Female,Tier 1,Student,67691,119767,21,Fixed Deposit,Yes,Yes,No,Personal Loan,41432,4,Yes,Business,High,Bank Account,Central
175,52,Female,Tier 3,Student,94768,27241,42,None,Yes,Yes,Yes,Home Loan,14892,9,Yes,Education,High,Digital Wallet,East
176,53,Female,Tier 1,Unemployed,171685,62975,28,Fixed Deposit,Yes,Yes,Yes,No Debt,8271,8,Yes,Travel,Low,Investment Platform,North
177,21,Female,Tier 1,Student,29026,66396,14,Cryptocurrency,Yes,No,No,Home Loan,37926,4,Yes,Travel,Medium,Bank Account,West
178,39,Female,Tier 3,Salaried,199607,128920,12,Cryptocurrency,No,No,Yes,Home Loan,24815,4,Yes,Business,Low,Digital Wallet,North
179,22,Female,Tier 2,Salaried,45908,96226,25,Stocks,Yes,Yes,No,Home Loan,45612,2,Yes,Travel,Low,Investment Platform,North
180,46,Female,Tier 3,Salaried,198185,94719,10,None,Yes,Yes,No,No Debt,33357,9,No,Travel,Medium,Investment Platform,North
181,52,Male,Tier 1,Student,34610,73014,25,Fixed Deposit,Yes,No,Yes,No Debt,9552,3,Yes,Wealth Accumulation,Medium,Cash,East
182,26,Female,Tier 2,Self-Employed,192718,49346,43,None,Yes,Yes,Yes,Credit Card Debt,16267,4,Yes,Travel,Low,Bank Account,South
